id,name,region,category,lat,lng,has_image,image_source,image_url,image_thumbnail,image_page,image_title,image_verified,image_verification_score,image_verification_max,image_rejected_count,image_was_new,image_reject_reasons,v1_license,v2_metadata,v3_safe,v4_gps,v5_vision
p537,Slottet,Vestland,viewpoint,60.79483,5.75633,False,,,,,,False,0,5,0,False,,,,,,
p538,Hosetlia,Møre og Romsdal,viewpoint,62.97805,7.62253,False,,,,,,False,0,5,0,False,,,,,,
p539,Skårhåmmåren,Trøndelag,viewpoint,63.48306,10.80118,False,,,,,,False,0,5,0,False,,,,,,
p540,Strætasfjellet,Trøndelag,viewpoint,63.42367,11.05435,False,,,,,,False,0,5,0,False,,,,,,
p541,Pavan,Trøndelag,viewpoint,63.44385,11.04356,False,,,,,,False,0,5,0,False,,,,,,
p542,Flaskå,Vestland,viewpoint,60.5893,5.83474,False,,,,,,False,0,5,0,False,,,,,,
p543,Hundkjerka,Trøndelag,viewpoint,63.46117,11.20208,False,,,,,,False,0,5,0,False,,,,,,
p544,Øyungskuven,Innlandet,viewpoint,60.56389,11.01773,False,,,,,,False,0,5,0,False,,,,,,
p545,Snauskallen,Trøndelag,viewpoint,63.43118,10.89526,False,,,,,,False,0,5,0,False,,,,,,
p546,Raudsandberget,Møre og Romsdal,viewpoint,63.06384,7.66555,False,,,,,,False,0,5,0,False,,,,,,
p547,Storenipa,Vestland,viewpoint,60.66393,5.7911,False,,,,,,False,0,5,0,False,,,,,,
p548,Varden,Møre og Romsdal,viewpoint,62.9849,7.83942,False,,,,,,False,0,5,0,False,,,,,,
p549,Segalstadsæterkampen,Innlandet,viewpoint,61.45997,10.13043,False,,,,,,False,0,5,0,False,,,,,,
p550,Skarvan,Møre og Romsdal,viewpoint,62.89598,7.50598,False,,,,,,False,0,5,0,False,,,,,,
p551,Ølemannbenken,Vestland,viewpoint,60.55672,5.72072,False,,,,,,False,0,5,0,False,,,,,,
p552,Dalestølen utsiktspunkt,Vestland,viewpoint,60.57209,5.81613,False,,,,,,False,0,5,0,False,,,,,,
p553,Synsåsen,Innlandet,viewpoint,61.03585,11.22852,False,,,,,,False,0,5,0,False,,,,,,
p554,Tørråsen,Innlandet,viewpoint,61.67508,11.31797,False,,,,,,False,0,5,0,False,,,,,,
p555,Svarthammaren,Innlandet,viewpoint,61.77844,12.0353,False,,,,,,False,0,5,0,False,,,,,,
p556,Storafjellet utsiktspunkt,Vestland,viewpoint,60.57263,5.73617,False,,,,,,False,0,5,0,False,,,,,,
p557,Glomnesfossen utsiktspunkt,Vestland,viewpoint,61.92119,7.08882,False,,,,,,False,0,5,0,False,,,,,,
p558,Storekvilet,Vestland,viewpoint,61.92162,7.08596,False,,,,,,False,0,5,0,False,,,,,,
p559,Brandbustrønde,Innlandet,beach,61.38063,8.33893,False,,,,,,False,0,5,0,False,,,,,,
p560,Kløvningadn,Innlandet,beach,61.15916,8.5108,False,,,,,,False,0,5,0,False,,,,,,
p561,Pålssanden,Innlandet,beach,61.10789,8.68734,False,,,,,,False,0,5,0,False,,,,,,
p562,Søvelsteinsanden,Innlandet,beach,61.09719,8.70742,False,,,,,,False,0,5,0,False,,,,,,
p563,Boligvika Badeplass,Innlandet,beach,60.93782,10.68084,False,,,,,,False,0,5,0,False,,,,,,
p564,Kriksvika,Innlandet,beach,61.22225,10.62826,False,,,,,,False,0,5,0,False,,,,,,
p565,Eiesand,Innlandet,beach,61.61214,9.7272,False,,,,,,False,0,5,0,False,,,,,,
p566,Kjemsjø,Innlandet,beach,61.56411,11.08912,False,,,,,,False,0,5,0,False,,,,,,
p567,Klokkarstranda,Innlandet,beach,61.57126,9.86031,False,,,,,,False,0,5,0,False,,,,,,
p568,Korsvika,Trøndelag,beach,63.45011,10.4329,False,,,,,,False,0,5,0,False,,,,,,
p569,Brænnebukta,Trøndelag,beach,63.44763,10.32901,False,,,,,,False,0,5,0,False,,,,,,
p570,Ringvebukta,Trøndelag,beach,63.45277,10.4625,False,,,,,,False,0,5,0,False,,,,,,
p571,Skjellbreia,Trøndelag,beach,63.39056,10.24389,False,,,,,,False,0,5,0,False,,,,,,
p572,Øysanden,Trøndelag,beach,62.50665,11.92017,False,,,,,,False,0,5,1,False,Øysand: L1: Unknown or restricted license: ,,,,,
p573,Kalkstranda,Møre og Romsdal,beach,62.98946,8.61793,False,,,,,,False,0,5,0,False,,,,,,
p574,Blimsanden,Møre og Romsdal,beach,62.56434,6.04902,False,,,,,,False,0,5,0,False,,,,,,
p575,Gjerdesanden,Møre og Romsdal,beach,62.50825,6.0634,False,,,,,,False,0,5,0,False,,,,,,
p576,Korsvollstranda,Møre og Romsdal,beach,63.28862,8.14013,False,,,,,,False,0,5,0,False,,,,,,
p577,Osnesanden,Møre og Romsdal,beach,62.34394,5.82617,False,,,,,,False,0,5,0,False,,,,,,
p578,Ulsteinsanden,Møre og Romsdal,beach,62.36718,5.81825,False,,,,,,False,0,5,0,False,,,,,,
p579,Krokåttbekken,Trøndelag,picnic,63.37459,10.82046,False,,,,,,False,0,5,0,False,,,,,,
